date,cocoa_price_euro,Brent_Price,precipitation,soil_moisture
2022-03-09,670.0,116.58,0.55,0.45
2022-03-08,643.33,133.18,0.57,0.45
2022-03-07,650.33,129.02,0.71,0.46
2022-03-04,623.33,123.86,6.94,0.46
2022-03-03,576.33,115.36,0.35,0.45
2022-03-02,542.67,118.94,4.14,0.45
2022-03-01,544.33,110.93,2.19,0.45
2022-02-28,548.33,103.08,2.62,0.45
2022-02-25,629.0,98.56,1.59,0.43
2022-02-24,635.67,101.29,0.12,0.43
2022-02-23,684.33,99.29,0.05,0.43
2022-02-22,663.33,98.73,0.54,0.43
2022-02-21,660.33,98.95,1.28,0.43
2022-02-18,657.33,96.18,0.0,0.44
2022-02-17,672.0,95.28,0.0,0.44
2022-02-16,713.0,97.44,0.0,0.44
2022-02-15,733.67,98.43,0.0,0.44
2022-02-14,723.0,101.66,2.86,0.44
2022-02-11,805.0,97.5,0.19,0.45
2022-02-10,816.67,96.37,0.07,0.45
2022-02-09,792.0,94.95,0.0,0.45
2022-02-08,712.33,96.07,0.01,0.45
2022-02-07,677.0,97.28,0.02,0.45
2022-02-04,712.33,96.86,0.0,0.45
2022-02-03,681.0,92.99,0.0,0.45
2022-02-02,665.33,91.43,0.0,0.46
2022-02-01,648.67,90.24,0.0,0.46
2022-01-31,567.67,92.35,0.0,0.46
2022-01-28,530.33,91.47,0.0,0.47
2022-01-27,491.67,90.7,0.0,0.48
2022-01-26,555.33,91.22,0.0,0.48
2022-01-25,548.67,89.49,0.0,0.48
2022-01-24,541.0,87.74,0.0,0.48
2022-01-21,620.0,89.75,0.0,0.49
2022-01-20,692.67,89.75,0.0,0.49
2022-01-19,695.67,89.64,0.0,0.49
2022-01-18,665.33,88.83,0.0,0.5
2022-01-17,678.5,87.82,0.0,0.5
2022-01-14,691.67,87.17,0.18,0.51
2022-01-13,651.0,85.8,0.01,0.52
2022-01-12,596.67,85.83,0.03,0.52
2022-01-11,617.0,84.98,0.04,0.52
2022-01-10,553.67,81.56,0.01,0.52
2022-01-07,548.33,82.28,0.0,0.54
2022-01-06,456.33,81.99,0.0,0.55
2022-01-05,495.67,80.6,8.21,0.55
2022-01-04,502.67,79.39,0.31,0.54
2022-01-03,523.67,78.25,0.43,0.55
2021-12-31,555.33,77.24,0.51,0.53
2021-12-30,573.67,78.61,0.19,0.54
2021-12-29,526.33,78.63,0.26,0.54
2021-12-28,510.67,,0.04,0.54
2021-12-27,497.33,,0.25,0.55
2021-12-23,492.33,76.26,0.0,0.55
2021-12-22,487.0,74.69,0.0,0.55
2021-12-21,482.0,72.85,0.0,0.56
2021-12-20,452.67,70.51,0.03,0.56
2021-12-17,515.33,72.97,0.04,0.57
2021-12-16,564.0,74.64,0.47,0.58
2021-12-15,561.33,73.71,0.6,0.58
2021-12-14,523.0,73.37,0.14,0.58
2021-12-13,537.0,74.12,0.02,0.58
2021-12-10,471.33,74.98,0.08,0.59
2021-12-09,470.0,74.1,0.07,0.59
2021-12-08,488.0,75.94,0.08,0.6
2021-12-07,487.0,75.54,0.14,0.6
2021-12-06,478.33,73.38,0.0,0.6
2021-12-03,470.67,70.71,0.01,0.62
2021-12-02,454.0,70.56,0.0,0.62
2021-12-01,361.0,69.53,0.22,0.62
2021-11-30,365.67,70.86,0.58,0.62
2021-11-29,397.33,73.34,1.04,0.62
2021-11-26,413.33,72.37,0.18,0.62
2021-11-25,462.0,82.05,0.13,0.62
2021-11-24,510.67,82.37,0.09,0.63
2021-11-23,574.33,83.43,0.39,0.63
2021-11-22,593.67,80.97,0.46,0.64
2021-11-19,588.33,80.24,0.58,0.65
2021-11-18,588.0,82.45,0.82,0.66
2021-11-17,570.33,80.67,0.31,0.66
2021-11-16,554.67,82.85,3.49,0.66
2021-11-15,533.67,81.94,1.76,0.66
2021-11-12,503.33,82.9,6.46,0.67
2021-11-11,524.0,83.4,3.34,0.67
2021-11-10,498.33,82.91,5.04,0.67
2021-11-09,448.33,84.52,7.97,0.66
2021-11-08,472.0,83.22,3.5,0.66
2021-11-05,436.67,82.43,6.31,0.66
2021-11-04,467.33,80.15,3.14,0.66
2021-11-03,459.67,81.1,1.21,0.66
2021-11-02,502.33,84.42,0.58,0.67
2021-11-01,584.67,84.51,4.16,0.68
2021-10-29,581.67,83.1,5.22,0.69
2021-10-28,604.67,83.4,6.34,0.69
2021-10-27,622.0,84.12,4.08,0.69
2021-10-26,615.67,85.11,4.66,0.7
2021-10-25,637.0,84.85,11.65,0.7
2021-10-22,617.67,85.43,4.52,0.7
2021-10-21,597.67,84.58,19.42,0.7
2021-10-20,548.33,85.76,10.91,0.66
2021-10-19,569.33,85.02,6.13,0.66
2021-10-18,636.33,84.13,3.35,0.65
2021-10-15,639.67,84.67,1.54,0.66
2021-10-14,619.0,83.86,2.7,0.66
2021-10-13,636.0,83.53,2.38,0.67
2021-10-12,702.67,83.53,2.09,0.68
2021-10-11,705.33,83.75,8.18,0.68
2021-10-08,775.33,82.17,1.34,0.67
2021-10-07,753.0,82.34,3.72,0.67
2021-10-06,745.67,81.39,5.31,0.67
2021-10-05,773.67,82.72,3.83,0.67
2021-10-04,769.67,81.44,2.21,0.68
2021-10-01,728.0,79.4,13.45,0.69
2021-09-30,669.33,77.81,6.41,0.69
2021-09-29,609.0,77.86,4.12,0.7
2021-09-28,570.67,78.3,2.26,0.71
2021-09-27,569.67,78.85,0.8,0.74
2021-09-24,609.33,77.42,7.97,0.66
2021-09-23,631.0,76.44,5.47,0.66
2021-09-22,672.0,75.5,2.3,0.66
2021-09-21,620.67,73.65,2.98,0.66
2021-09-20,603.33,73.59,4.41,0.66
2021-09-17,677.67,74.64,7.76,0.69
2021-09-16,671.0,75.14,3.83,0.7
2021-09-15,668.67,74.84,23.98,0.69
2021-09-14,671.33,73.05,5.77,0.67
2021-09-13,646.33,72.97,2.09,0.68
2021-09-10,628.0,72.44,8.91,0.65
2021-09-09,688.0,71.32,4.99,0.64
2021-09-08,695.67,72.36,0.91,0.64
2021-09-07,715.0,71.52,0.74,0.65
2021-09-06,686.33,72.43,3.91,0.66
2021-09-03,657.67,73.07,6.64,0.66
2021-09-02,623.33,73.56,7.55,0.66
2021-09-01,553.67,71.99,1.92,0.67
2021-08-31,553.67,73.45,8.01,0.69
2021-08-30,606.0,,4.42,0.7
2021-08-27,591.33,72.26,7.61,0.66
2021-08-26,627.0,70.42,12.02,0.66
2021-08-25,622.0,72.12,9.5,0.64
2021-08-24,594.67,71.21,6.13,0.65
2021-08-23,578.67,69.07,2.88,0.66
2021-08-20,577.33,65.51,8.41,0.57
