date,precipitation,soil_moisture
2015-06-15,2.64,0.57
2015-06-16,1.49,0.55
2015-06-17,1.99,0.55
2015-06-18,1.43,0.54
2015-06-19,1.37,0.53
2015-06-20,2.53,0.53
2015-06-21,3.16,0.52
2015-06-22,3.48,0.52
2015-06-23,1.35,0.52
2015-06-24,2.75,0.52
2015-06-25,0.84,0.51
2015-06-26,1.39,0.51
2015-06-27,2.48,0.5
2015-06-28,4.66,0.5
2015-06-29,1.93,0.51
2015-06-30,3.77,0.5
2015-07-01,3.67,0.5
2015-07-02,5.36,0.5
2015-07-03,12.92,0.52
2015-07-04,10.34,0.53
2015-07-05,0.93,0.53
2015-07-06,1.16,0.52
2015-07-07,1.62,0.52
2015-07-08,2.18,0.51
2015-07-09,1.97,0.51
2015-07-10,4.26,0.52
2015-07-11,7.77,0.52
2015-07-12,8.04,0.53
2015-07-13,10.9,0.54
2015-07-14,5.88,0.55
2015-07-15,4.25,0.55
2015-07-16,5.82,0.55
2015-07-17,2.2,0.54
2015-07-18,1.86,0.53
2015-07-19,2.63,0.53
2015-07-20,2.36,0.52
2015-07-21,9.45,0.52
2015-07-22,5.93,0.53
2015-07-23,0.76,0.53
2015-07-24,1.03,0.52
2015-07-25,1.97,0.52
2015-07-26,0.61,0.51
2015-07-27,0.49,0.5
2015-07-28,1.23,0.5
2015-07-29,0.29,0.49
2015-07-30,0.1,0.48
2015-07-31,0.19,0.48
2015-08-01,0.54,0.48
2015-08-02,0.99,0.48
2015-08-03,1.36,0.48
2015-08-04,2.2,0.48
2015-08-05,0.29,0.47
2015-08-06,1.08,0.47
2015-08-07,5.98,0.48
2015-08-08,2.18,0.48
2015-08-09,1.4,0.48
2015-08-10,7.0,0.48
2015-08-11,8.78,0.49
2015-08-12,1.67,0.49
2015-08-13,2.23,0.49
2015-08-14,3.31,0.48
2015-08-15,3.85,0.48
2015-08-16,2.77,0.48
2015-08-17,1.9,0.48
2015-08-18,2.42,0.48
2015-08-19,4.64,0.48
2015-08-20,6.4,0.48
2015-08-21,8.75,0.5
2015-08-22,6.22,0.51
2015-08-23,1.96,0.51
2015-08-24,6.17,0.51
2015-08-25,5.79,0.52
2015-08-26,1.77,0.51
2015-08-27,16.78,0.51
